modelo;ID;ITERACAO;PARAM_ATUAL;MPA_ATUAL;PARAM_MELHOR;MPA_MELHOR;Unnamed: 0
log_holts_hill_climb_1m;20;968;00111101101111111110010001110;0.0014423515929071;00111101101111111110010001110;0.0014423515929071;
log_holts_hill_climb_1m;21;672;10110011111011110010011101100;6.649364587760767e-06;10110011111011110010011101100;6.649364587760767e-06;
log_holts_hill_climb_1m;22;609;00111111101000011010110001001;1.9838099895632868e-05;00111111101000011010110001001;1.9838099895632868e-05;
log_holts_hill_climb_1m;23;479;00111111100110111011100111101;0.0003302954835054;00111111100110111011100111101;0.0003302954835054;
log_holts_hill_climb_1m;24;565;00111111001100000000111100100;0.0006349968626253;00111111001100000000111100100;0.0006349968626253;
log_holts_hill_climb_6m;0;201;10010001011111011100100100101;0.1065967054653865;10010001011111011100100100101;0.1065967054653865;
log_holts_hill_climb_6m;1;557;00010100001111111111011000011;0.1089494021223151;00010100001111111111011000011;0.1089494021223151;
log_holts_hill_climb_6m;2;974;00010100001111100111100010110;0.1089615772379045;00010100001111100111100010110;0.1089615772379045;
log_holts_hill_climb_6m;3;95;00000010001000011000010101110;0.1082580472654645;00000010001000011000010101110;0.1082580472654645;
log_holts_hill_climb_6m;4;374;00000011001100000011000000000;0.1083035328909871;00000011001100000011000000000;0.1083035328909871;
log_holts_hill_climb_6m;5;348;10010001011111100110111101110;0.1065937820304481;10010001011111100110111101110;0.1065937820304481;
log_holts_hill_climb_6m;6;825;10010010001111111100101011001;0.106933788297497;10010010001111111100101011001;0.106933788297497;
log_holts_hill_climb_6m;7;612;10010001001111011100010000111;0.1065967054653865;10010001001111011100010000111;0.1065967054653865;
log_holts_hill_climb_6m;8;92;00010011011111111111000100000;0.1083614427488128;00010011011111111111000100000;0.1083614427488128;
log_holts_hill_climb_6m;9;247;10100000011111111110111011001;0.1127136069569375;10100000011111111110111011001;0.1127136069569375;
log_holts_hill_climb_6m;10;960;10010001001111100000010010110;0.1065946160537581;10010001001111100000010010110;0.1065946160537581;
log_holts_hill_climb_6m;11;736;10010100001111111100111110001;0.107724172650609;10010100001111111100111110001;0.107724172650609;
log_holts_hill_climb_6m;12;970;10010001001101111110110011000;0.1066604758319868;10010001001101111110110011000;0.1066604758319868;
log_holts_hill_climb_6m;13;684;00000011001100000001100111011;0.1083035328909871;00000011001100000001100111011;0.1083035328909871;
log_holts_hill_climb_6m;14;560;00010100001111111101101101110;0.1089494021223151;00010100001111111101101101110;0.1089494021223151;
log_holts_hill_climb_6m;15;145;10100000001111111100000100100;0.1127136069569375;10100000001111111100000100100;0.1127136069569375;
log_holts_hill_climb_6m;16;894;10010100011111111110010101101;0.107724172650609;10010100011111111110010101101;0.107724172650609;
log_holts_hill_climb_6m;17;314;00010100001111111111010010100;0.1089494021223151;00010100001111111111010010100;0.1089494021223151;
log_holts_hill_climb_6m;18;996;10010010111111111100111110010;0.1071218887085185;10010010111111111100111110010;0.1071218887085185;
