;0;1;2;3
0;C;10101010101100100001000001;Creating SARIMAX;
1;F1;10101010101100100001000001;Before fitting;
2;F2;10101010101100100001000001;After fitting;0.37956650000000014
3;P1;10101010101100100001000001;Done;
4;P2;10101010101100100001000001;Done;
5;C;10110000000100111110101010;Creating SARIMAX;
6;F1;10110000000100111110101010;Before fitting;
7;F2;10110000000100111110101010;After fitting;0.8854256000000005
8;P1;10110000000100111110101010;Done;
9;P2;10110000000100111110101010;Done;
10;C;10001111000101001011001011;Creating SARIMAX;
11;F1;10001111000101001011001011;Before fitting;
12;F2;10001111000101001011001011;After fitting;0.5896636000000006
13;P1;10001111000101001011001011;Done;
14;P2;10001111000101001011001011;Done;
15;C;10011111011100110111001000;Creating SARIMAX;
16;F1;10011111011100110111001000;Before fitting;
17;F2;10011111011100110111001000;After fitting;0.2768299000000001
18;P1;10011111011100110111001000;Done;
19;P2;10011111011100110111001000;Done;
20;C;11100011010010000010110100;Creating SARIMAX;
21;F1;11100011010010000010110100;Before fitting;
22;F2;11100011010010000010110100;After fitting;4.9550498
23;P1;11100011010010000010110100;Done;
24;P2;11100011010010000010110100;Done;
25;C;10000100001001111100110100;Creating SARIMAX;
26;F1;10000100001001111100110100;Before fitting;
27;F2;10000100001001111100110100;After fitting;3.517710299999999
28;P1;10000100001001111100110100;Done;
29;P2;10000100001001111100110100;Done;
30;C;00111111110000100111010011;Creating SARIMAX;
31;F1;00111111110000100111010011;Before fitting;
32;F2;00111111110000100111010011;After fitting;0.2654450000000015
33;P1;00111111110000100111010011;Done;
34;P2;00111111110000100111010011;Done;
35;C;10111101101110111101101100;Creating SARIMAX;
36;F1;10111101101110111101101100;Before fitting;
37;F2;10111101101110111101101100;After fitting;10.126495299999998
38;P1;10111101101110111101101100;Done;
39;P2;10111101101110111101101100;Done;
40;C;10001000100101001101010110;Creating SARIMAX;
41;F1;10001000100101001101010110;Before fitting;
42;F2;10001000100101001101010110;After fitting;1.3562931999999996
43;P1;10001000100101001101010110;Done;
44;P2;10001000100101001101010110;Done;
45;C;01010001100000010001000000;Creating SARIMAX;
46;F1;01010001100000010001000000;Before fitting;
47;F2;01010001100000010001000000;After fitting;0.09695579999999993
48;P1;01010001100000010001000000;Done;
49;P2;01010001100000010001000000;Done;
50;C;11111101101010111000111101;Creating SARIMAX;
51;F1;11111101101010111000111101;Before fitting;
52;F2;11111101101010111000111101;After fitting;18.4261483
53;P1;11111101101010111000111101;Done;
54;P2;11111101101010111000111101;Done;
55;C;00110011100111000101101000;Creating SARIMAX;
56;F1;00110011100111000101101000;Before fitting;
57;F2;00110011100111000101101000;After fitting;0.13038110000000103
58;P1;00110011100111000101101000;Done;
59;P2;00110011100111000101101000;Done;
60;C;01101101001110111000011000;Creating SARIMAX;
61;F1;01101101001110111000011000;Before fitting;
62;F2;01101101001110111000011000;After fitting;0.3394918000000047
63;P1;01101101001110111000011000;Done;
64;P2;01101101001110111000011000;Done;
65;C;01100101110001011011010101;Creating SARIMAX;
66;F1;01100101110001011011010101;Before fitting;
67;F2;01100101110001011011010101;After fitting;2.5766795999999985
68;P1;01100101110001011011010101;Done;
69;P2;01100101110001011011010101;Done;
70;C;00111011100110100101110100;Creating SARIMAX;
71;F1;00111011100110100101110100;Before fitting;
72;F2;00111011100110100101110100;After fitting;1.9962607000000006
73;P1;00111011100110100101110100;Done;
74;P2;00111011100110100101110100;Done;
75;C;01110110100100101011000111;Creating SARIMAX;
76;F1;01110110100100101011000111;Before fitting;
77;F2;01110110100100101011000111;After fitting;2.0381833
78;P1;01110110100100101011000111;Done;
79;P2;01110110100100101011000111;Done;
80;C;00001110101011010011111011;Creating SARIMAX;
81;F1;00001110101011010011111011;Before fitting;
82;F2;00001110101011010011111011;After fitting;0.6957212000000013
83;P1;00001110101011010011111011;Done;
84;P2;00001110101011010011111011;Done;
85;C;10111010101010010111000011;Creating SARIMAX;
86;F1;10111010101010010111000011;Before fitting;
87;F2;10111010101010010111000011;After fitting;1.5507672000000028
88;P1;10111010101010010111000011;Done;
89;P2;10111010101010010111000011;Done;
90;C;00110100101000100000101111;Creating SARIMAX;
91;F1;00110100101000100000101111;Before fitting;
92;F2;00110100101000100000101111;After fitting;1.8875943999999976
93;P1;00110100101000100000101111;Done;
94;P2;00110100101000100000101111;Done;
95;C;11001111100101000011010011;Creating SARIMAX;
96;F1;11001111100101000011010011;Before fitting;
97;F2;11001111100101000011010011;After fitting;0.6824032999999972
98;P1;11001111100101000011010011;Done;
99;P2;11001111100101000011010011;Done;
100;C;11000100110011000000011011;Creating SARIMAX;
101;F1;11000100110011000000011011;Before fitting;
102;F2;11000100110011000000011011;After fitting;1.014279799999997
103;P1;11000100110011000000011011;Done;
104;P2;11000100110011000000011011;Done;
105;C;10000111101111111001100101;Creating SARIMAX;
106;F1;10000111101111111001100101;Before fitting;
107;F2;10000111101111111001100101;After fitting;20.5256162
108;P1;10000111101111111001100101;Done;
109;P2;10000111101111111001100101;Done;
110;C;10100110001111111101011100;Creating SARIMAX;
111;F1;10100110001111111101011100;Before fitting;
112;F2;10100110001111111101011100;After fitting;11.853072299999994
113;P1;10100110001111111101011100;Done;
114;P2;10100110001111111101011100;Done;
115;C;00110111100101010110111010;Creating SARIMAX;
116;F1;00110111100101010110111010;Before fitting;
117;F2;00110111100101010110111010;After fitting;0.6088972000000012
118;P1;00110111100101010110111010;Done;
119;P2;00110111100101010110111010;Done;
120;C;00101010100010110011001010;Creating SARIMAX;
121;F1;00101010100010110011001010;Before fitting;
122;F2;00101010100010110011001010;After fitting;0.1796141000000091
123;P1;00101010100010110011001010;Done;
124;P2;00101010100010110011001010;Done;
125;C;10101010101100100001000001;Creating SARIMAX;
126;F1;10101010101100100001000001;Before fitting;
127;F2;10101010101100100001000001;After fitting;0.28706980000004023
128;P1;10101010101100100001000001;Done;
129;P2;10101010101100100001000001;Done;
130;C;10101010101100100000000001;Creating SARIMAX;
131;F1;10101010101100100000000001;Before fitting;
132;F2;10101010101100100000000001;After fitting;0.20873340000002827
133;P1;10101010101100100000000001;Done;
134;P2;10101010101100100000000001;Done;
135;C;10111010101100110101000001;Creating SARIMAX;
136;F1;10111010101100110101000001;Before fitting;
137;F2;10111010101100110101000001;After fitting;0.22740609999993922
138;P1;10111010101100110101000001;Done;
139;P2;10111010101100110101000001;Done;
140;C;10101010101100000001000001;Creating SARIMAX;
141;F1;10101010101100000001000001;Before fitting;
142;F2;10101010101100000001000001;After fitting;0.2727787000000035
143;P1;10101010101100000001000001;Done;
144;P2;10101010101100000001000001;Done;
145;C;10101010101100000001000001;Creating SARIMAX;
