"UF";"Ano";"Mês";"Transferência";"1º Decêndio";"2º Decêndio";"3º Decêndio";"Total"
"SE";"2019";"07";"FPE";"R$88.096.562,48";"R$31.302.654,06";"R$87.048.993,84";"R$206.448.210,38"
"SE";"2019";"08";"FPE";"R$155.340.031,84";"R$17.397.161,20";"R$76.999.481,67";"R$249.736.674,71"
"SE";"2019";"09";"FPE";"R$116.761.414,84";"R$25.278.067,60";"R$79.142.139,77";"R$221.181.622,21"
"SE";"2019";"10";"FPE";"R$94.945.962,35";"R$31.438.715,67";"R$79.765.882,85";"R$206.150.560,87"
"SE";"2019";"11";"FPE";"R$161.147.278,87";"R$32.780.464,66";"R$83.331.161,88";"R$277.258.905,41"
"SE";"2019";"12";"FPE";"R$137.529.001,19";"R$76.578.601,32";"R$115.322.579,19";"R$329.430.181,70"
"SE";"2020";"01";"FPE";"R$111.503.915,68";"R$48.449.917,88";"R$123.460.459,62";"R$283.414.293,18"
"SE";"2020";"02";"FPE";"R$283.382.151,75";"R$30.430.203,47";"R$90.805.047,44";"R$404.617.402,66"
"SE";"2020";"03";"FPE";"R$121.112.390,27";"R$20.685.355,97";"R$97.587.008,75";"R$239.384.754,99"
"SE";"2020";"04";"FPE";"R$107.758.828,91";"R$28.115.354,33";"R$98.577.663,44";"R$234.451.846,68"
"SE";"2020";"05";"FPE";"R$136.412.084,69";"R$28.232.281,18";"R$80.062.846,20";"R$244.707.212,07"
"SE";"2020";"06";"FPE";"R$80.665.819,66";"R$45.674.588,40";"R$73.349.107,69";"R$199.689.515,75"
"SE";"2020";"07";"FPE";"R$106.238.605,52";"R$22.674.889,12";"R$75.027.040,20";"R$203.940.534,84"
"SE";"2020";"08";"FPE";"R$117.317.113,86";"R$24.496.588,76";"R$76.719.132,43";"R$218.532.835,05"
"SE";"2020";"09";"FPE";"R$72.101.651,92";"R$26.513.630,80";"R$77.475.312,50";"R$176.090.595,22"
"SE";"2020";"10";"FPE";"R$119.179.374,78";"R$27.636.540,62";"R$88.761.158,05";"R$235.577.073,45"
"SE";"2020";"11";"FPE";"R$193.660.002,87";"R$31.577.251,92";"R$84.221.757,70";"R$309.459.012,49"
"SE";"2020";"12";"FPE";"R$168.094.600,88";"R$56.866.032,60";"R$98.333.960,07";"R$323.294.593,55"
"SE";"2021";"01";"FPE";"R$171.294.547,13";"R$39.984.050,51";"R$130.562.548,96";"R$341.841.146,60"
"SE";"2021";"02";"FPE";"R$321.069.276,01";"R$32.316.678,86";"R$84.757.579,38";"R$438.143.534,25"
