ID;ITERACAO;PARAM_ATUAL;MPA_ATUAL;PARAM_MELHOR;MPA_MELHOR
0;1;00100010110010110101100111;0.2751256814384495;00100010110010110101100111;0.2751256814384495
0;2;00100010110010110101100111;0.1313785600499394;00100010110010110101100111;0.1313785600499394
0;3;00100010110010110101100111;0.1313785600499394;00100010110010110101100111;0.1313785600499394
0;4;00100010110010110101100111;0.1313785600499394;00100010110010110101100111;0.1313785600499394
0;5;00100010110010110101100111;0.1313785600499394;00100010110010110101100111;0.1313785600499394
0;6;00100010010010110101000111;0.1258630500469329;00100010010010110101000111;0.1258630500469329
0;7;00100010010011110101000011;0.9075752349295164;00100010010010110101000111;0.1258630500469329
0;8;00100010010010110100000111;0.50837349231277;00100010010010110101000111;0.1258630500469329
0;9;00100011010110011101000111;0.4419708046645867;00100010010010110101000111;0.1258630500469329
0;10;01100010010010110101000111;0.1618947780331766;00100010010010110101000111;0.1258630500469329
0;11;00100011011010110101000111;0.7032368388609358;00100010010010110101000111;0.1258630500469329
0;12;01100010010010110101000111;0.1618947780331766;00100010010010110101000111;0.1258630500469329
0;13;00100010010010110101000111;0.1258630500469329;00100010010010110101000111;0.1258630500469329
0;14;00100010010010110100000111;0.50837349231277;00100010010010110101000111;0.1258630500469329
0;15;00100011010010110100000110;120.0416049785279;00100010010010110101000111;0.1258630500469329
0;16;00100010010010110101000111;0.1258630500469329;00100010010010110101000111;0.1258630500469329
0;17;00100010010010110101000011;0.0981690917104048;00100010010010110101000011;0.0981690917104048
0;18;00110010010010110101000011;1.0995849155771056;00100010010010110101000011;0.0981690917104048
0;19;00100010010010110101000011;0.0981690917104048;00100010010010110101000011;0.0981690917104048
0;20;00000010010010110101000011;0.615225091908934;00100010010010110101000011;0.0981690917104048
0;21;00100010010010100101000011;0.7041243327244086;00100010010010110101000011;0.0981690917104048
0;22;00100010010010110101100011;0.0981690917104048;00100010010010110101100011;0.0981690917104048
0;23;00100010010011110101100011;0.9075752349295164;00100010010010110101100011;0.0981690917104048
0;24;00100010010010110101100011;0.0981690917104048;00100010010010110101100011;0.0981690917104048
0;25;00100011010010100101100011;5.238677450339828;00100010010010110101100011;0.0981690917104048
0;26;00100010010010110101100011;0.0981690917104048;00100010010010110101100011;0.0981690917104048
0;27;00100010010010110101110011;0.0981690917104048;00100010010010110101110011;0.0981690917104048
0;28;00100010010010110101110011;0.0981690917104048;00100010010010110101110011;0.0981690917104048
0;29;00100011010010110111110011;2.701195713198466;00100010010010110101110011;0.0981690917104048
0;30;00100010010010110101110011;0.0981690917104048;00100010010010110101110011;0.0981690917104048
0;31;00101010010010110101110011;0.0981690917104048;00101010010010110101110011;0.0981690917104048
0;32;00101010010010110101110011;0.0981690917104048;00101010010010110101110011;0.0981690917104048
0;33;00100010010010110101110011;0.0981690917104048;00100010010010110101110011;0.0981690917104048
0;34;00100010010010110111110011;0.0924979257451645;00100010010010110111110011;0.0924979257451645
0;35;00101010010010110110010011;30.17597686941061;00100010010010110111110011;0.0924979257451645
0;36;00101010010010111111110011;0.0924979257451645;00101010010010111111110011;0.0924979257451645
0;37;00101011000010111111110011;2.701195713198466;00101010010010111111110011;0.0924979257451645
0;38;00101010010010111111110011;0.0924979257451645;00101010010010111111110011;0.0924979257451645
0;39;00101010010010111111110011;0.0924979257451645;00101010010010111111110011;0.0924979257451645
0;40;00101010010010111111110011;0.0924979257451645;00101010010010111111110011;0.0924979257451645
0;41;00101010010010111111111011;0.0924979257451645;00101010010010111111111011;0.0924979257451645
0;42;00101010010010111101111011;0.0981690917104048;00101010010010111111111011;0.0924979257451645
0;43;00101010010010111111011011;0.0924979257451645;00101010010010111111011011;0.0924979257451645
0;44;00101010010010111111011011;0.0924979257451645;00101010010010111111011011;0.0924979257451645
0;45;00101010010010111111011011;0.0924979257451645;00101010010010111111011011;0.0924979257451645
0;46;00101010010010111111011011;0.0924979257451645;00101010010010111111011011;0.0924979257451645
0;47;00100010011010111111011011;2.2767700733702707;00101010010010111111011011;0.0924979257451645
0;48;00101010010000111011011011;1.4010673127612872;00101010010010111111011011;0.0924979257451645
0;49;00101110010010111111011011;11.964289178375068;00101010010010111111011011;0.0924979257451645
0;50;00101010010110111111011011;2.044448821526497;00101010010010111111011011;0.0924979257451645
0;51;00101010010010111111110011;0.0924979257451645;00101010010010111111110011;0.0924979257451645
0;52;00101010010010111111110011;0.0924979257451645;00101010010010111111110011;0.0924979257451645
0;53;00111010000010111111110011;0.1010826246339294;00101010010010111111110011;0.0924979257451645
0;54;00101010010010101111110011;3.083514336037357;00101010010010111111110011;0.0924979257451645
0;55;00101010010010111011110011;2.0370938910970797;00101010010010111111110011;0.0924979257451645
0;56;00101010010010111111110011;0.0924979257451645;00101010010010111111110011;0.0924979257451645
0;57;00101010010110111111110011;2.044448821526497;00101010010010111111110011;0.0924979257451645
0;58;00101010010010111111110011;0.0924979257451645;00101010010010111111110011;0.0924979257451645
0;59;00011010010010111111010011;0.115463942848084;00101010010010111111110011;0.0924979257451645
0;60;00111011010010101011110011;2.054250915229226;00101010010010111111110011;0.0924979257451645
0;61;00101011010010111111110011;2.701195713198466;00101010010010111111110011;0.0924979257451645
0;62;00101010010010111111110011;0.0924979257451645;00101010010010111111110011;0.0924979257451645
0;63;00101010010010111111110011;0.0924979257451645;00101010010010111111110011;0.0924979257451645
0;64;00101010010001111111110010;0.192942870454961;00101010010010111111110011;0.0924979257451645
0;65;00101010010010110111111011;0.0924979257451645;00101010010010110111111011;0.0924979257451645
