;0;1;2;3
140;C;01111010011001000000010101;Creating SARIMAX;
141;F1;01111010011001000000010101;Before fitting;
142;F2;01111010011001000000010101;After fitting;3.0766361000000018
143;P1;01111010011001000000010101;Done;
144;P2;01111010011001000000010101;Done;
145;C;00111010011001000000010101;Creating SARIMAX;
146;F1;00111010011001000000010101;Before fitting;
147;F2;00111010011001000000010101;After fitting;2.464621099999988
148;P1;00111010011001000000010101;Done;
149;P2;00111010011001000000010101;Done;
150;C;01111010011001000000010101;Creating SARIMAX;
151;F1;01111010011001000000010101;Before fitting;
152;F2;01111010011001000000010101;After fitting;3.0726257999999973
153;P1;01111010011001000000010101;Done;
154;P2;01111010011001000000010101;Done;
155;C;01111010011001000000010101;Creating SARIMAX;
156;F1;01111010011001000000010101;Before fitting;
157;F2;01111010011001000000010101;After fitting;3.2363479999999925
158;P1;01111010011001000000010101;Done;
159;P2;01111010011001000000010101;Done;
160;C;01111010011001000000110101;Creating SARIMAX;
161;F1;01111010011001000000110101;Before fitting;
162;F2;01111010011001000000110101;After fitting;3.088119699999993
163;P1;01111010011001000000110101;Done;
164;P2;01111010011001000000110101;Done;
165;C;01111010011001000000110101;Creating SARIMAX;
166;F1;01111010011001000000110101;Before fitting;
167;F2;01111010011001000000110101;After fitting;3.175625600000018
168;P1;01111010011001000000110101;Done;
169;P2;01111010011001000000110101;Done;
170;C;01111010011001000000110001;Creating SARIMAX;
171;F1;01111010011001000000110001;Before fitting;
172;F2;01111010011001000000110001;After fitting;0.1396533000000204
173;P1;01111010011001000000110001;Done;
174;P2;01111010011001000000110001;Done;
175;C;01111010011011000000110101;Creating SARIMAX;
176;F1;01111010011011000000110101;Before fitting;
177;F2;01111010011011000000110101;After fitting;5.476584000000003
178;P1;01111010011011000000110101;Done;
179;P2;01111010011011000000110101;Done;
180;C;01111010011101000000110100;Creating SARIMAX;
181;F1;01111010011101000000110100;Before fitting;
182;F2;01111010011101000000110100;After fitting;8.598742200000004
183;P1;01111010011101000000110100;Done;
184;P2;01111010011101000000110100;Done;
185;C;01111010011001000000110101;Creating SARIMAX;
186;F1;01111010011001000000110101;Before fitting;
187;F2;01111010011001000000110101;After fitting;3.056206599999996
188;P1;01111010011001000000110101;Done;
189;P2;01111010011001000000110101;Done;
190;C;01111010011001000000110101;Creating SARIMAX;
191;F1;01111010011001000000110101;Before fitting;
192;F2;01111010011001000000110101;After fitting;3.1644159999999886
193;P1;01111010011001000000110101;Done;
194;P2;01111010011001000000110101;Done;
195;C;01111010011001000000110101;Creating SARIMAX;
196;F1;01111010011001000000110101;Before fitting;
197;F2;01111010011001000000110101;After fitting;3.1937389999999937
198;P1;01111010011001000000110101;Done;
199;P2;01111010011001000000110101;Done;
