;0;1;2;3
0;C;00100100111000100110111101;Creating SARIMAX;
1;F1;00100100111000100110111101;Before fitting;
2;F2;00100100111000100110111101;After fitting;2.226060499999999
3;P1;00100100111000100110111101;Done;
4;P2;00100100111000100110111101;Done;
5;C;11000001010011011010100111;Creating SARIMAX;
6;F1;11000001010011011010100111;Before fitting;
7;F2;11000001010011011010100111;After fitting;2.5431932999999987
8;P1;11000001010011011010100111;Done;
9;P2;11000001010011011010100111;Done;
10;C;10001100100011001110100111;Creating SARIMAX;
11;F1;10001100100011001110100111;Before fitting;
12;F2;10001100100011001110100111;After fitting;1.0872820999999995
13;P1;10001100100011001110100111;Done;
14;P2;10001100100011001110100111;Done;
15;C;01000010110010001001011100;Creating SARIMAX;
16;F1;01000010110010001001011100;Before fitting;
17;F2;01000010110010001001011100;After fitting;0.7051449000000005
18;P1;01000010110010001001011100;Done;
19;P2;01000010110010001001011100;Done;
20;C;11110011001001011001110111;Creating SARIMAX;
21;F1;11110011001001011001110111;Before fitting;
22;F2;11110011001001011001110111;After fitting;5.649897500000002
23;P1;11110011001001011001110111;Done;
24;P2;11110011001001011001110111;Done;
25;C;00000101101110000100011000;Creating SARIMAX;
26;F1;00000101101110000100011000;Before fitting;
27;F2;00000101101110000100011000;After fitting;0.7954581000000012
28;P1;00000101101110000100011000;Done;
29;P2;00000101101110000100011000;Done;
30;C;00011000011101101010011011;Creating SARIMAX;
31;F1;00011000011101101010011011;Before fitting;
32;F2;00011000011101101010011011;After fitting;0.8314498000000015
33;P1;00011000011101101010011011;Done;
34;P2;00011000011101101010011011;Done;
35;C;11110101010110110010001011;Creating SARIMAX;
36;F1;11110101010110110010001011;Before fitting;
37;F2;11110101010110110010001011;After fitting;2.0753141999999976
38;P1;11110101010110110010001011;Done;
39;P2;11110101010110110010001011;Done;
40;C;00011010101001111110011011;Creating SARIMAX;
41;F1;00011010101001111110011011;Before fitting;
42;F2;00011010101001111110011011;After fitting;0.5928596999999982
43;P1;00011010101001111110011011;Done;
44;P2;00011010101001111110011011;Done;
