;ID;ITERACAO;PARAM_ATUAL;MPA_ATUAL;PARAM_MELHOR;MPA_MELHOR
0;0;2;10110011010000111110000001;1.0512168142828673;10110011010000111110000001;1.0512168142828673
1;0;3;11110011010000111110000001;1.0445784717441218;11110011010000111110000001;1.0445784717441218
2;0;4;11110010010000111110000001;0.047202211331944376;11110010010000111110000001;0.047202211331944376
3;0;5;11110010010000111110000101;0.5087809443028841;11110010010000111110000001;0.047202211331944376
4;0;6;11110000010000111110000001;0.9995602558235943;11110010010000111110000001;0.047202211331944376
5;0;7;11111010010000111110000001;0.047202211331944376;11111010010000111110000001;0.047202211331944376
6;0;8;11111010010000111110000101;0.5087809443028841;11111010010000111110000001;0.047202211331944376
7;0;9;11111010011000111110000001;0.046553170345212336;11111010011000111110000001;0.046553170345212336
8;0;10;11111010010000111110000001;0.047202211331944376;11111010011000111110000001;0.046553170345212336
9;0;11;11111010011100111110000001;0.0471962020594143;11111010011000111110000001;0.046553170345212336
10;0;12;11111010011000111110010001;0.046553170345212336;11111010011000111110010001;0.046553170345212336
11;0;13;01111010011000111110010001;0.08496636342202482;11111010011000111110010001;0.046553170345212336
12;0;14;11111010011000111111010001;0.28183364579507614;11111010011000111110010001;0.046553170345212336
13;0;15;11111011011000111110010001;1.0424634532401895;11111010011000111110010001;0.046553170345212336
14;0;16;11111010011000111010010001;0.04346743673352656;11111010011000111010010001;0.04346743673352656
15;0;17;11111010011001111010010001;0.04412480206691942;11111010011000111010010001;0.04346743673352656
16;0;18;11111010011000011010010001;0.04346743673352656;11111010011000011010010001;0.04346743673352656
17;0;19;11111010011000011010010000;0.04346743673352656;11111010011000011010010000;0.04346743673352656
18;0;20;11111010011000011010011000;0.04346743673352656;11111010011000011010011000;0.04346743673352656
19;0;21;11101010011000011010011000;0.07701688451768415;11111010011000011010011000;0.04346743673352656
20;0;22;11111010010000011010011000;0.12867808920233395;11111010011000011010011000;0.04346743673352656
21;0;23;10111010011000011010011000;0.03768505824752469;10111010011000011010011000;0.03768505824752469
22;0;24;10111010011100011010011000;0.0019478347761675218;10111010011100011010011000;0.0019478347761675218
23;0;25;10111010011100001010011000;0.0019257939300585058;10111010011100001010011000;0.0019257939300585058
24;0;26;10111010011100101010011000;0.0019257939300585058;10111010011100101010011000;0.0019257939300585058
25;0;27;10111010111100101010011000;0.015151693705777302;10111010011100101010011000;0.0019257939300585058
26;0;28;10111010011100101011011000;0.021857992575965397;10111010011100101011011000;0.021857992575965397
27;0;29;10111010011100111011011000;0.00040241039738647254;10111010011100111011011000;0.00040241039738647254
28;0;30;10111011011100111011011000;0.16064696892365754;10111010011100111011011000;0.00040241039738647254
29;0;31;10111010111100111011011000;0.09283318072767718;10111010011100111011011000;0.00040241039738647254
30;0;32;10111010011101111011011000;0.030065622608185755;10111010011100111011011000;0.00040241039738647254
31;0;33;10111110011100111011011000;0.13489846967025457;10111010011100111011011000;0.00040241039738647254
32;0;34;10111010011100111001011000;0.1554404279147961;10111010011100111011011000;0.00040241039738647254
33;0;35;10111000011100111011011000;0.11602143555610459;10111010011100111011011000;0.00040241039738647254
34;0;36;10111110011100111011011000;0.13489846967025457;10111010011100111011011000;0.00040241039738647254
35;0;37;10111010011100111011010000;0.00040241039738647254;10111010011100111011010000;0.00040241039738647254
36;0;38;10111010011100111011010100;0.15671987679237112;10111010011100111011010000;0.00040241039738647254
37;0;39;10111010011100111011000000;0.00040241039738647254;10111010011100111011000000;0.00040241039738647254
38;0;40;11111010011100111011000000;0.11401198763889778;10111010011100111011000000;0.00040241039738647254
39;0;41;10111000011100111011000000;0.11602143555610459;10111010011100111011000000;0.00040241039738647254
40;0;42;10011010011100111011000000;0.08190488830585078;10111010011100111011000000;0.00040241039738647254
41;0;43;10111010111100111011000000;0.09283318072767718;10111010011100111011000000;0.00040241039738647254
42;0;44;10111010011100111111000000;0.28178076800355534;10111010011100111011000000;0.00040241039738647254
43;0;45;10101010011100111011000000;0.008379665871882514;10111010011100111011000000;0.00040241039738647254
44;0;46;10111010011000111011000000;0.2197725508840683;10111010011100111011000000;0.00040241039738647254
45;0;47;10111010011100111011000100;0.15671987679237112;10111010011100111011000000;0.00040241039738647254
46;0;48;10111011011100111011000000;0.16064696892365754;10111010011100111011000000;0.00040241039738647254
47;0;49;10111010011110111011000000;0.020904523436559193;10111010011100111011000000;0.00040241039738647254
48;0;50;10111010011100111001000000;0.1554404279147961;10111010011100111011000000;0.00040241039738647254
49;0;51;10111110011100111011000000;0.13489846967025457;10111010011100111011000000;0.00040241039738647254
50;0;52;10101010011100111011000000;0.008379665871882514;10111010011100111011000000;0.00040241039738647254
51;0;53;10101010011100111011000000;0.008379665871882514;10111010011100111011000000;0.00040241039738647254
52;0;54;10111010011100111011001000;0.00040241039738647254;10111010011100111011001000;0.00040241039738647254
53;0;55;10111010011100111111001000;0.28178076800355534;10111010011100111011001000;0.00040241039738647254
54;0;56;10111011011100111011001000;0.16064696892365754;10111010011100111011001000;0.00040241039738647254
55;0;57;10111010011100101011001000;0.021857992575965397;10111010011100111011001000;0.00040241039738647254
56;0;58;10111010010100111011001000;0.17106763813905265;10111010011100111011001000;0.00040241039738647254
57;0;59;10111110011100111011001000;0.13489846967025457;10111010011100111011001000;0.00040241039738647254
58;0;60;10111010011100111011011000;0.00040241039738647254;10111010011100111011011000;0.00040241039738647254
59;0;61;10111010011100111011011010;0.00040241039738647254;10111010011100111011011010;0.00040241039738647254
60;0;62;10110010011100111011011010;0.00040241039738647254;10110010011100111011011010;0.00040241039738647254
